food,category,description
Jollof Rice,main,Smoky Nigerian party rice cooked with pepper and spices
Fried Rice,main,Nigerian fried rice mixed with vegetables and liver
Amala,swallow,Yam flour swallow commonly eaten with ewedu soup
Eba,swallow,Garri based swallow served with rich Nigerian soups
Pounded Yam,swallow,Smooth yam swallow served with egusi or ogbono soup
Egusi Soup,soup,Melon seed soup cooked with vegetables and assorted meat
Efo Riro,soup,Rich Yoruba vegetable soup made with spinach and peppers
Ogbono Soup,soup,Draw soup made from ogbono seeds and assorted meat
Afang Soup,soup,Traditional vegetable soup popular in southern Nigeria
Pepper Soup,soup,Spicy Nigerian soup with meat or fish
Suya,grill,Spicy grilled beef skewers with yaji seasoning
Asun,grill,Spicy grilled goat meat mixed with pepper sauce
Moi Moi,side,Steamed bean pudding rich in protein and spices
Akara,breakfast,Fried bean cakes commonly eaten for breakfast
Yam and Egg,breakfast,Fried yam served with spicy egg sauce
Bole and Fish,street food,Roasted plantain served with spicy fish sauce
Nkwobi,delicacy,Spicy cow foot delicacy served in palm oil sauce
Isi Ewu,delicacy,Traditional goat head delicacy with rich seasoning
Ofada Rice,main,Local Nigerian rice served with spicy ayamase sauce
Ayamase Sauce,sauce,Green pepper sauce commonly paired with Ofada rice
Beans and Plantain,main,Boiled beans served with fried ripe plantain
Okra Soup,soup,Fresh okra soup with assorted meat and seafood
Banga Soup,soup,Palm fruit soup popular in the Niger Delta region
Tuwo Shinkafa,swallow,Soft rice swallow commonly eaten in northern Nigeria
Kilishi,snack,Dried spicy Nigerian beef snack
Chin Chin,snack,Crunchy fried pastry snack enjoyed across Nigeria
Puff Puff,snack,Soft fried dough snack commonly sold on the street
Coconut Rice,main,Rice cooked with coconut milk and spices
Native Rice,main,Traditional local rice cooked with palm oil and spices
Catfish Pepper Soup,soup,Spicy catfish soup with Nigerian herbs
